Person_id,Family_Number,Person_Number,Person_Name,Relation_to_Head,Gender,Age,Nationality_Type,Nationality,Trips_Done,Occupation_Status,Occupation_Type,Usual_Mode_of_Travel,License_Type,Bus_Pass,Special_Needs,Car_Available,Person_id_bk,Age_Group,Occupation_Group,Family_income_band,Family_cars,HH_Car_AV,p_car_AV,Tour,Trip,Goout,Inc_group,Inc_group_order,PersonGroup,PersonGroup_inc,PersonGroup_inc_cv,Old_car_AV,B,E,H,O,S,W,X,Y
2054001,20540,1,Mr. A,Head of Household,Male,40,Non-Saudi Arab,Sudan,Yes,Full Time Employed,"House maid, butler, chauffeur, farmer, etc.",Car as Driver,Car Only,No,No Problem,Always,2054001,34-44,W,4,0,Car_Nav,CA,1,3,1,L,1L,Non-Saudi Arab_W_Male,Non-Saudi Arab_W_Male_1L,Non-Saudi Arab_W_Male_1L_CA,CA,0,0,1,0,0,2,0,0
2054002,20540,2,Ms. B,Wife,Female,22,Non-Saudi Arab,Palestine,Don't want to go out,House Person,,,No License,No,No Problem,Never,2054002,18-24,NW,4,0,Car_Nav,NCA,0,0,0,L,1L,Non-Saudi Arab_NW_Female,Non-Saudi Arab_NW_Female_1L,Non-Saudi Arab_NW_Female_1L_NCA,NCA,0,0,0,0,0,0,0,0
2054101,20541,1,Mr. A,Head of Household,Male,50,Non-Saudi Non-Arab,India,Yes,Full Time Employed,Offices - government,Work Bus,Car Only,No,No Problem,Always,2054101,45-54,W,99,1,Car_Av,CA,1,2,1,M,2M,Non-Saudi Non-Arab_W_Male,Non-Saudi Non-Arab_W_Male_2M,Non-Saudi Non-Arab_W_Male_2M_CA,CA,0,0,1,0,0,1,0,0
2054102,20541,2,Mr. B,Son/Daughter,Male,16,Non-Saudi Non-Arab,India,Yes,Student - Secondary School,,School Bus,No License,No,No Problem,Never,2054102,16-17,SS,99,1,Car_Av,NCA,1,2,1,M,2M,Non-Saudi Non-Arab_SS_Male,Non-Saudi Non-Arab_SS_Male,Non-Saudi Non-Arab_SS_Male_NCA,NCA,0,1,1,0,0,0,0,0
2054103,20541,3,Ms. C,Son/Daughter,Female,14,Non-Saudi Non-Arab,India,Yes,Student - Primary School,,School Bus,No License,No,No Problem,Never,2054103,Dec-15,SP,99,1,Car_Av,NCA,1,2,1,M,2M,Non-Saudi Non-Arab_SP_Female,Non-Saudi Non-Arab_SP_Female,Non-Saudi Non-Arab_SP_Female_NCA,NCA,0,1,1,0,0,0,0,0
2123601,21236,1,Mr. A,Head of Household,Male,24,Saudi,,Yes,Full Time Employed,Offices - government,Car as Driver,Car Only,No,No Problem,Always,2123601,18-24,W,6,1,Car_Av,CA,2,4,1,M,2M,Saudi_W_Male,Saudi_W_Male_2M,Saudi_W_Male_2M_CA,CA,0,0,2,1,0,1,0,0
2123602,21236,2,Ms. B,Wife,Female,21,Saudi,,housewife,Unemployed,,,No License,No,No Problem,Sometimes,2123602,18-24,NW,6,1,Car_Av,NCA,0,0,0,M,2M,Saudi_NW_Female,Saudi_NW_Female_2M,Saudi_NW_Female_2M_NCA,NCA,0,0,0,0,0,0,0,0
2083201,20832,1,Mr. A,Head of Household,Male,40,Non-Saudi Arab,Yemen,Yes,Full Time Employed,personal office,Car as Passenger,No License,No,No Problem,Sometimes,2083201,34-44,W,4,0,Car_Nav,CA,2,4,1,L,1L,Non-Saudi Arab_W_Male,Non-Saudi Arab_W_Male_1L,Non-Saudi Arab_W_Male_1L_CA,CA,0,0,2,0,1,1,0,0
2083202,20832,2,Ms. B,Wife,Female,18-24,Non-Saudi Arab,Yemen,housewife,Unemployed,,,No License,No,No Problem,Never,2083202,18-24,NW,4,0,Car_Nav,NCA,0,0,0,L,1L,Non-Saudi Arab_NW_Female,Non-Saudi Arab_NW_Female_1L,Non-Saudi Arab_NW_Female_1L_NCA,NCA,0,0,0,0,0,0,0,0
2083203,20832,3,Ms. C,Son/Daughter,Female,6,Non-Saudi Arab,Yemen,child not in foster care,Child not at nursery,,,No License,,No Problem,,2083203,06-Nov,NW,4,0,Car_Nav,NCA,0,0,0,L,1L,Non-Saudi Arab_NW_Female,Non-Saudi Arab_NW_Female_1L,Non-Saudi Arab_NW_Female_1L_NCA,NCA,0,0,0,0,0,0,0,0
2083204,20832,4,Ms. D,Son/Daughter,Female,4,Non-Saudi Arab,Yemen,child not in foster care,Child not at nursery,,,No License,,No Problem,,2083204,<=5,NW,4,0,Car_Nav,NCA,0,0,0,L,1L,Non-Saudi Arab_NW_Female,Non-Saudi Arab_NW_Female_1L,Non-Saudi Arab_NW_Female_1L_NCA,NCA,0,0,0,0,0,0,0,0
2054201,20542,1,Mr. A,Head of Household,Male,52,Saudi,,Yes,Full Time Employed,Commercial trade - non-office,Car as Driver,Car Only,Yes,No Problem,Sometimes,2054201,45-54,W,99,4,Car_Av,CA,1,2,1,M,2M,Saudi_W_Male,Saudi_W_Male_2M,Saudi_W_Male_2M_CA,CA,0,0,1,1,0,0,0,0
2054202,20542,2,Ms. B,Wife,Female,41,Saudi,,Don't want to go out,House Person,,,No License,No,No Problem,Never,2054202,34-44,NW,99,4,Car_Av,NCA,0,0,0,M,2M,Saudi_NW_Female,Saudi_NW_Female_2M,Saudi_NW_Female_2M_NCA,NCA,0,0,0,0,0,0,0,0
2054203,20542,3,Mr. C,Son/Daughter,Male,20,Saudi,,Yes,Student - University: Full-Time (does not work),,,Car Only,No,No Problem,Always,2054203,18-24,S,99,4,Car_Av,CA,1,2,1,M,2M,Saudi_S_Male,Saudi_S_Male,Saudi_S_Male_CA,CA,0,1,1,0,0,0,0,0
2054204,20542,4,Mr. D,Son/Daughter,Male,19,Saudi,,Yes,Student - University: Full-Time (does not work),,,Car Only,No,No Problem,Never,2054204,18-24,S,99,4,Car_Av,CA,1,2,1,M,2M,Saudi_S_Male,Saudi_S_Male,Saudi_S_Male_CA,NCA,0,1,1,0,0,0,0,0
2054205,20542,5,Mr. E,Son/Daughter,Male,17,Saudi,,Yes,Student - Secondary School,,Car as Passenger,No License,No,No Problem,Never,2054205,16-17,SS,99,4,Car_Av,CA,1,2,1,M,2M,Saudi_SS_Male,Saudi_SS_Male,Saudi_SS_Male_CA,NCA,0,1,1,0,0,0,0,0
2054206,20542,6,Ms. F,Son/Daughter,Female,16,Saudi,,Don't want to go out,Student - Secondary School,,Car as Passenger,No License,No,No Problem,Never,2054206,16-17,SS,99,4,Car_Av,NCA,0,0,0,M,2M,Saudi_SS_Female,Saudi_SS_Female,Saudi_SS_Female_NCA,NCA,0,0,0,0,0,0,0,0
2083301,20833,1,Mr. A,Siblings,Male,61,Non-Saudi Arab,Yemen,Yes,Unemployed,,,No License,No,No Problem,Always,2083301,55-64,NW,99,1,Car_Av,CA,2,4,1,M,2M,Non-Saudi Arab_NW_Male,Non-Saudi Arab_NW_Male_2M,Non-Saudi Arab_NW_Male_2M_CA,CA,0,0,2,1,1,0,0,0
2083302,20833,2,Mr. B,Head of Household,Male,53,Non-Saudi Arab,Yemen,taxi driver,Self-Employed (own business),"Driver- bus, taxi, limousine",Car as Driver,Car Only,No,No Problem,Always,2083302,45-54,W,99,1,Car_Av,CA,0,0,0,M,2M,Non-Saudi Arab_W_Male,Non-Saudi Arab_W_Male_2M,Non-Saudi Arab_W_Male_2M_CA,CA,0,0,0,0,0,0,0,0
2124201,21242,1,Mr. A,Head of Household,Male,29,Saudi,,Yes,Unemployed,,,Car Only,No,No Problem,Always,2124201,25-34,NW,7,1,Car_Av,CA,1,2,1,M,2M,Saudi_NW_Male,Saudi_NW_Male_2M,Saudi_NW_Male_2M_CA,CA,0,0,1,1,0,0,0,0
2124202,21242,2,Ms. B,Wife,Female,25,Saudi,,Yes,House Person,,,No License,No,No Problem,Always,2124202,25-34,NW,7,1,Car_Av,CA,1,2,1,M,2M,Saudi_NW_Female,Saudi_NW_Female_2M,Saudi_NW_Female_2M_CA,CA,0,0,1,1,0,0,0,0
2097401,20974,1,Mr. A,Head of Household,Male,59,Saudi,,Yes,Full Time Employed,Offices - government,Car as Driver,Car Only,No,No Problem,Always,2097401,55-64,W,7,2,Car_Av,CA,3,9,1,M,2M,Saudi_W_Male,Saudi_W_Male_2M,Saudi_W_Male_2M_CA,CA,0,0,3,2,0,4,0,0
2097402,20974,2,Mr. B,Son/Daughter,Male,16-17,Saudi,,Yes,Student - Secondary School,,Car as Passenger,No License,No,No Problem,Never,2097402,16-17,SS,7,2,Car_Av,CA,1,3,1,M,2M,Saudi_SS_Male,Saudi_SS_Male,Saudi_SS_Male_CA,NCA,0,1,1,1,0,0,0,0
2013601,20136,1,Mr. A,Head of Household,Male,27,Saudi,,Yes,Refused to Answer,,,Car Only,,No Problem,,2013601,25-34,NW,6,1,Car_Av,CA,2,4,1,M,2M,Saudi_NW_Male,Saudi_NW_Male_2M,Saudi_NW_Male_2M_CA,NCA,0,0,2,0,0,0,0,2
2013602,20136,2,Ms. B,Son/Daughter,Female,8,Saudi,,Yes,Student - Elementary School,,Car as Passenger,No License,No,No Problem,Sometimes,2013602,06-Nov,SP,6,1,Car_Av,CA,1,2,1,M,2M,Saudi_SP_Female,Saudi_SP_Female,Saudi_SP_Female_CA,CA,0,1,1,0,0,0,0,0
2083401,20834,1,Mr. A,Head of Household,Male,37,Non-Saudi Non-Arab,Burma,Yes,Full Time Employed,personal office,Car as Driver,Car Only,No,No Problem,Always,2083401,34-44,W,4,1,Car_Av,CA,1,4,1,L,1L,Non-Saudi Non-Arab_W_Male,Non-Saudi Non-Arab_W_Male_1L,Non-Saudi Non-Arab_W_Male_1L_CA,CA,0,0,1,0,0,1,0,2
2083402,20834,2,Ms. B,Wife,Female,25-34,Non-Saudi Non-Arab,Burma,housewife,Unemployed,,,No License,No,No Problem,Always,2083402,25-34,NW,4,1,Car_Av,CA,0,0,0,L,1L,Non-Saudi Non-Arab_NW_Female,Non-Saudi Non-Arab_NW_Female_1L,Non-Saudi Non-Arab_NW_Female_1L_CA,CA,0,0,0,0,0,0,0,0
2083403,20834,3,Mr. C,Son/Daughter,Male,9,Non-Saudi Non-Arab,Burma,Yes,Student - Elementary School,,Car as Passenger,No License,No,No Problem,Always,2083403,06-Nov,SP,4,1,Car_Av,CA,1,2,1,L,1L,Non-Saudi Non-Arab_SP_Male,Non-Saudi Non-Arab_SP_Male,Non-Saudi Non-Arab_SP_Male_CA,CA,0,1,1,0,0,0,0,0
2083404,20834,4,Ms. D,Son/Daughter,Female,4,Non-Saudi Non-Arab,Burma,A child who is not in foster care,Child not at nursery,,,No License,,No Problem,,2083404,<=5,NW,4,1,Car_Av,NCA,0,0,0,L,1L,Non-Saudi Non-Arab_NW_Female,Non-Saudi Non-Arab_NW_Female_1L,Non-Saudi Non-Arab_NW_Female_1L_NCA,NCA,0,0,0,0,0,0,0,0
2022701,20227,1,Mr. A,Head of Household,Male,43,Saudi,,Yes,Full Time Employed,personal office,Car as Driver,Car Only,No,No Problem,Always,2022701,34-44,W,10,1,Car_Av,CA,2,4,1,H,3H,Saudi_W_Male,Saudi_W_Male_3H,Saudi_W_Male_3H_CA,CA,0,0,2,0,0,1,0,1
